date,venue,race_no,race_name,detail,horse_no,horse_name,win_odds,implied_prob,fetched_at_jst
2026-05-24,東京,2,3歳未勝利,10:30発走 / ダ1600m (左) / 天候:晴 / 馬場:稍,16,キタノドンカルロ,32.3,3.1,2026-05-24 11:06:13+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,1,ルクソンライト,30.9,3.2,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,2,ツクバヴァンガード,3.6,27.8,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,3,ソーマッチ,486.3,0.2,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,4,ヴェントディルーナ,510.8,0.2,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,5,アドミ,11.3,8.8,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,6,ピコレーヴ,91.2,1.1,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,7,ディサイドオンミー,52.2,1.9,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,8,アイムインディ,3.1,32.3,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,9,トレンドマーチ,194.3,0.5,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,10,ピコランド,3.6,27.8,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,11,ペイシャクロス,281.5,0.4,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,12,セキテイロックス,6.6,15.2,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,13,ユーベルジーク,122.1,0.8,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,14,プレヒティヒ,380.0,0.3,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,15,テンカラットレター,776.4,0.1,2026-05-24 11:06:15+09:00
2026-05-24,東京,3,3歳未勝利,11:00発走 / ダ1300m (左) / 天候:晴 / 馬場:稍,16,ホウオウチャールズ,17.2,5.8,2026-05-24 11:06:15+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,1,ウインテラジーナ,13.1,7.6,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,2,クイーンズパーク,115.5,0.9,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,3,リリーサー,11.0,9.1,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,4,サトノスターライト,7.7,13.0,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,5,ルージュラベル,9.8,10.2,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,6,ノアシルヴィ,92.0,1.1,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,7,ジェムシリカ,29.5,3.4,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,8,ベアサナエチャン,6.3,15.9,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,9,ヘリオドール,134.3,0.7,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,10,フーディエラン,38.5,2.6,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,11,ダイヤテソーロ,17.1,5.8,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,12,ロジタイガー,106.3,0.9,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,13,ストームアイ,142.2,0.7,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,14,クレアノア,4.0,25.0,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,15,ソレム,31.0,3.2,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,16,ダノンアスコルティ,4.7,21.3,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,17,ペルシアーノ,28.3,3.5,2026-05-24 11:06:18+09:00
2026-05-24,東京,4,3歳未勝利,11:30発走 / 芝1600m (左 B) / 天候:晴 / 馬場:良,18,ジュリ,73.9,1.4,2026-05-24 11:06:18+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,1,マトリカリア,71.6,1.4,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,2,アテナガール,27.2,3.7,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,3,カキュウ,78.9,1.3,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,4,レッドフリーマン,8.8,11.4,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,5,クリアーゲイル,11.7,8.5,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,6,ブリサマリーナ,6.3,15.9,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,7,ルーリングクラス,2.3,43.5,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,8,サツキマーメイド,92.8,1.1,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,9,ブルージェネシス,75.8,1.3,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,10,オケアノステソーロ,61.4,1.6,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,11,ブライスフェアリー,25.1,4.0,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,12,ファインブライト,23.0,4.3,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,13,ジュナベーラ,4.2,23.8,2026-05-24 11:06:20+09:00
2026-05-24,東京,5,3歳未勝利,12:20発走 / 芝1800m (左 B) / 天候:晴 / 馬場:良,14,レガリーノ,25.4,3.9,2026-05-24 11:06:20+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,1,レピュニット,15.8,6.3,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,2,チームユートピア,12.2,8.2,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,3,ラインジーク,13.9,7.2,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,4,リアライズタキオン,20.6,4.9,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,5,クラディスティーナ,48.0,2.1,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,6,ヘリテージブルーム,1.6,62.5,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,7,タイセイエキサイト,114.1,0.9,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,8,マサノピンクレディ,24.1,4.1,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,9,ベルゼビュート,8.1,12.3,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,10,タイセイブルーム,61.9,1.6,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,11,マウンテンドーター,179.0,0.6,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,12,パータリプトラ,25.1,4.0,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,13,リアライズブラーヴ,14.5,6.9,2026-05-24 11:06:22+09:00
2026-05-24,東京,6,3歳1勝クラス,12:50発走 / ダ1400m (左) / 天候:晴 / 馬場:稍,14,スノースコール,18.0,5.6,2026-05-24 11:06:22+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,1,ムーンストラック,19.2,5.2,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,2,ポッポノフェスタ,29.4,3.4,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,3,ラファミリア,32.9,3.0,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,4,ジェロニモス,14.9,6.7,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,5,ライヴスプーン,68.3,1.5,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,6,ヘルツアス,99.2,1.0,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,7,サンセットビュー,8.7,11.5,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,8,ポルトフェリス,10.9,9.2,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,9,マイネルアウルム,12.5,8.0,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,10,ウィンスタンリー,17.8,5.6,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,11,ウーバーストロング,93.0,1.1,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,12,イリュストル,27.5,3.6,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,13,キロノヴァ,26.9,3.7,2026-05-24 11:06:24+09:00
2026-05-24,東京,7,4歳以上1勝クラス,13:20発走 / 芝2400m (左 B) / 天候:晴 / 馬場:良,14,ニヴルヘイム,18.2,5.5,2026-05-24 11:06:24+09:00
